,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,album_id,album_name
1agbfChZMt1Nh3q5gQ0pIj,0.724,0.402,3,-9.227,1,0.0494,0.616,7.71e-06,0.0977,0.559,95.052,audio_features,1agbfChZMt1Nh3q5gQ0pIj,spotify:track:1agbfChZMt1Nh3q5gQ0pIj,https://api.spotify.com/v1/tracks/1agbfChZMt1Nh3q5gQ0pIj,https://api.spotify.com/v1/audio-analysis/1agbfChZMt1Nh3q5gQ0pIj,157370,4,4kmtIjiorlfYvAnoakOv3a,Heridas
3UIENhLRdFIOuRan92cAQu,0.527,0.859,7,-6.685,1,0.0687,0.176,0.0866,0.157,0.443,74.214,audio_features,3UIENhLRdFIOuRan92cAQu,spotify:track:3UIENhLRdFIOuRan92cAQu,https://api.spotify.com/v1/tracks/3UIENhLRdFIOuRan92cAQu,https://api.spotify.com/v1/audio-analysis/3UIENhLRdFIOuRan92cAQu,235627,4,53ysLjWIelVJ47Si7ouHB3,El Grito Del Tiempo
1DvCCG3mB3Ay4gdNnosTwY,0.609,0.228,11,-14.048,0,0.0428,0.872,0.862,0.121,0.124,130.01,audio_features,1DvCCG3mB3Ay4gdNnosTwY,spotify:track:1DvCCG3mB3Ay4gdNnosTwY,https://api.spotify.com/v1/tracks/1DvCCG3mB3Ay4gdNnosTwY,https://api.spotify.com/v1/audio-analysis/1DvCCG3mB3Ay4gdNnosTwY,124615,4,5TGvFKQTLcGAvBhST4NqHZ,Days Of Tomorrow
33ZwftVJtbkT21OFulFe2r,0.481,0.927,7,-3.022,1,0.0504,0.00499,0,0.207,0.767,169.918,audio_features,33ZwftVJtbkT21OFulFe2r,spotify:track:33ZwftVJtbkT21OFulFe2r,https://api.spotify.com/v1/tracks/33ZwftVJtbkT21OFulFe2r,https://api.spotify.com/v1/audio-analysis/33ZwftVJtbkT21OFulFe2r,191789,4,3cheBjM6yhQedJyjGMBGcN,Hensito
0TsWkRs9LjB8b2orIKvy7B,0.624,0.579,1,-9.365,0,0.0462,0.232,8.36e-05,0.107,0.392,153.974,audio_features,0TsWkRs9LjB8b2orIKvy7B,spotify:track:0TsWkRs9LjB8b2orIKvy7B,https://api.spotify.com/v1/tracks/0TsWkRs9LjB8b2orIKvy7B,https://api.spotify.com/v1/audio-analysis/0TsWkRs9LjB8b2orIKvy7B,187017,4,5VorJcZoCkAIBuT0APxQyd,Motorsport
5KMt3NIZWnD5b2puZCfaFn,0.616,0.397,5,-11.717,1,0.202,0.662,0,0.092,0.128,89.25,audio_features,5KMt3NIZWnD5b2puZCfaFn,spotify:track:5KMt3NIZWnD5b2puZCfaFn,https://api.spotify.com/v1/tracks/5KMt3NIZWnD5b2puZCfaFn,https://api.spotify.com/v1/audio-analysis/5KMt3NIZWnD5b2puZCfaFn,180755,4,1BsZwTahEmDg1LhKjsNdNl,19
3mbCqi22KYjndD56qCykyP,0.392,0.7,8,-5.838,1,0.282,0.136,0,0.082,0.224,165.571,audio_features,3mbCqi22KYjndD56qCykyP,spotify:track:3mbCqi22KYjndD56qCykyP,https://api.spotify.com/v1/tracks/3mbCqi22KYjndD56qCykyP,https://api.spotify.com/v1/audio-analysis/3mbCqi22KYjndD56qCykyP,219228,4,06ndmW1TODpGRPdGE7At37,La Estrategia
29DJN0aQmjeLXFg2Djurim,0.688,0.699,6,-5.358,0,0.0685,0.0473,0,0.513,0.689,90.017,audio_features,29DJN0aQmjeLXFg2Djurim,spotify:track:29DJN0aQmjeLXFg2Djurim,https://api.spotify.com/v1/tracks/29DJN0aQmjeLXFg2Djurim,https://api.spotify.com/v1/audio-analysis/29DJN0aQmjeLXFg2Djurim,157333,4,6anO6Uh11TivGpTI56aKCH,Temporada de Reggaetón 2
1PssPMY2c6vBIdfipUMR3X,0.61,0.495,8,-7.524,1,0.171,0.673,0,0.0639,0.793,90.328,audio_features,1PssPMY2c6vBIdfipUMR3X,spotify:track:1PssPMY2c6vBIdfipUMR3X,https://api.spotify.com/v1/tracks/1PssPMY2c6vBIdfipUMR3X,https://api.spotify.com/v1/audio-analysis/1PssPMY2c6vBIdfipUMR3X,166750,4,4KtiEBfQhipRwX7jzaSdLJ,Si nos vamos
5rZOiWketpmtcMy6aMIl7W,0.714,0.792,11,-4.314,0,0.041,0.112,0,0.328,0.856,125.092,audio_features,5rZOiWketpmtcMy6aMIl7W,spotify:track:5rZOiWketpmtcMy6aMIl7W,https://api.spotify.com/v1/tracks/5rZOiWketpmtcMy6aMIl7W,https://api.spotify.com/v1/audio-analysis/5rZOiWketpmtcMy6aMIl7W,176356,4,4Y6xkGadJ9Na34ZyR5Y7Y5,Solamente Tu
3567eNX2L3RkkMkwspncMH,0.633,0.478,0,-5.571,1,0.0359,0.0115,0,0.103,0.692,159.951,audio_features,3567eNX2L3RkkMkwspncMH,spotify:track:3567eNX2L3RkkMkwspncMH,https://api.spotify.com/v1/tracks/3567eNX2L3RkkMkwspncMH,https://api.spotify.com/v1/audio-analysis/3567eNX2L3RkkMkwspncMH,150467,4,2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe)
3AbNNvo2OmyeDMvRBgf9vk,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,0.775,90.009,audio_features,3AbNNvo2OmyeDMvRBgf9vk,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/tracks/3AbNNvo2OmyeDMvRBgf9vk,https://api.spotify.com/v1/audio-analysis/3AbNNvo2OmyeDMvRBgf9vk,190667,4,3kNJsC47065Ucjk6AuCb8y,La Loto
6RvdPXkp63MIt9oNFJBRIz,0.676,0.636,4,-6.554,0,0.0727,0.0941,0,0.0694,0.238,101.975,audio_features,6RvdPXkp63MIt9oNFJBRIz,spotify:track:6RvdPXkp63MIt9oNFJBRIz,https://api.spotify.com/v1/tracks/6RvdPXkp63MIt9oNFJBRIz,https://api.spotify.com/v1/audio-analysis/6RvdPXkp63MIt9oNFJBRIz,154520,4,6i7nZXIeKaSBLXl5b3UirN,Mxfix G5
5X9daJT0Qg5yLIvUqwPKkX,0.708,0.867,8,-3.376,1,0.0577,0.169,6.16e-05,0.236,0.77,90.101,audio_features,5X9daJT0Qg5yLIvUqwPKkX,spotify:track:5X9daJT0Qg5yLIvUqwPKkX,https://api.spotify.com/v1/tracks/5X9daJT0Qg5yLIvUqwPKkX,https://api.spotify.com/v1/audio-analysis/5X9daJT0Qg5yLIvUqwPKkX,224440,4,6I32dRerwcm3jYRsprxb5k,Victory
5DtTZfXWnMPzgSsl3GGN8u,0.649,0.258,1,-13.442,1,0.0363,0.74,0,0.0799,0.372,90.937,audio_features,5DtTZfXWnMPzgSsl3GGN8u,spotify:track:5DtTZfXWnMPzgSsl3GGN8u,https://api.spotify.com/v1/tracks/5DtTZfXWnMPzgSsl3GGN8u,https://api.spotify.com/v1/audio-analysis/5DtTZfXWnMPzgSsl3GGN8u,189053,4,5UMl7dsO7ZoMyH7rKUc53q,One Call Away (Acoustic + Remixes)
3zkWCteF82vJwv0hRLba76,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,audio_features,3zkWCteF82vJwv0hRLba76,spotify:track:3zkWCteF82vJwv0hRLba76,https://api.spotify.com/v1/tracks/3zkWCteF82vJwv0hRLba76,https://api.spotify.com/v1/audio-analysis/3zkWCteF82vJwv0hRLba76,206880,4,0CnQ0JQajNswRjPkNYVG8m,Handwritten
