,0
Eres Tú___Morat,7493NC66pNTxxU5Uc6nsDm
MONACO___Bad Bunny,4MjDJD8cW7iVeWInc2Bdyj
TBT___Sebastian Yatra,4s45VgkknMFkdiGoUcjxQU
Skin___Sabrina Carpenter,03B2SfXuvDh1m9F4tqrX07
Torn___Natalie Imbruglia,1Jaah2tmN9Hv81A87KZ1MU
XQ Te Pones Así___Feid,6JUMswocQ7Hp46kj9kyljT
Old Town Road - Remix___Lil Nas X,2YpeDb67231RjR0MgVLzsG
Nothing's Gonna Change My Love For You___Glenn Medeiros,1exLL81vN8mD55M9HMOt1t
Slow Hands___Niall Horan,2cOUlop2ZakjOKe4WinesN
Fireproof___One Direction,34aYkYrY3sXhEU9O4VQgtB
El Don___Willy H,5RwMXNm3sTkYtHiqrgzIJt
Spaces___One Direction,4lrC9aBnzlG9U5DDoHMnyt
Estamos Bien___Bad Bunny,2OWVCFTolecLiGZPquvWvT
Planet 9___No Spirit,4ssP7DejEIDLXaVywwC8iA
RAULEETO (Skit)___Rauw Alejandro,6G8AN9xTcpjh5RIdSrd4Mm
The Hills___The Weeknd,7fBv7CLKzipRk6EC6TWHOB
AVXNTADXR___Feid,2ZN0GHIwy1KLEJODW1uVkO
Me Enamoré___Shakira,4qknM1pQz53QOyfDVTjcM9
Te Olvidaré___TINI,3mCsFR4vkkg6az76rXMZu6
Amor Prohibido___Selena,1kCewNSs909Xj1naXr36X8
Fool's Gold___One Direction,0L5gFNrzHyh4OhMwEz6DGS
10 Minutos___Miki Núñez,7EbZqc1rELPFw89Y4uhpYK
Un Beso___Danny Paz,0mDYDLR1KToBR4plxAj4O4
Choka Choka___Kiko Rivera,42BQllBUDXqdhluxFUFkJR
Hoy___Karavana,6aLbr8SKCsjMHQGfrym1dU
Shake It Off___Taylor Swift,3pv7Q5v2dpdefwdWIvE7yH
Después de la Playa___Bad Bunny,1dm6z1fWB0cErMszU25dy2
Andrea___Bad Bunny,44XjoNvtwevktFKjvVe1vH
Cloud Shapes___Leavv,1Wy1n4evkx9Eekc7Vq46fn
Reflections___Osaki,2xql0pid3EUwW38AsywxhV
MEGLIO DEL CINEMA___Fedez,6byHOsfSzBH0R5WQ6QRv54
Guerrera___DELLAFUENTE,3Q6zROQvMXRtR9NYfDpNWL
Felices los 4___Maluma,1RouRzlg8OKFeqc6LvdxmB
Lie To Me___5 Seconds of Summer,3567eNX2L3RkkMkwspncMH
So Pretty___Reyanna Maria,1yLTcitjbEJr7a4jyDB0Lz
Besándote___Piso 21,43jclIPKJv9iFiYWVyWqsb
Dos Veces___David Bisbal,1OBAWijV9qQIBu5fCHRomS
Derecho a No Declarar___Pole.,6eKPg2gdhHlWUUFLucFgey
She Don't Give A Fov___Facundo Majdalani,0VObSXd35k7s2k1IKUjWxn
Mexico D.F.___Taburete,17My6Ut3sZ3L8I1zWHhoRh
Donosti___Besmaya,5IsJsbVf7kIbjrZjOFDaPs
No Te Veo - Remix___Casper Magico,0stKSegkdrfLTDvm5sIO38
Don't Walk Away___Miley Cyrus,0WzFAQkNDZqNyNjglVucWu
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)___DJ Snake",4w8niZpiMy6qz1mntFA5uM
This Is What You Came For___Calvin Harris,0azC730Exh71aQlOt9Zj3y
Directions___Akīn,7lUn9F40R8Pz4kfGWS5oh5
Black Magic___Little Mix,6rmXhRIemCTPyMYZRDN7Qg
Volamos___Luani,3l0EY7Dx73UdJL1YYCfHWW
Mil Voces___Bermu,2h5O7TgoawGDuTaXevYgqQ
Como Lo Tienes Tu___Pereza,30y52XjphJO3jDMgKMhBvs
Nena Buena___Anuel AA,7m6aTkKrrPHAZ4fGnksoda
SI TÚ SUPIERAS - Bonus Track___Feid,1SCYfmGM5ueb6YiiQbLXVn
Graze___Mavine,2yITr3rlrZFvK8J5hlCmFq
Feliz___Bustamante,3kUq4sBcmxhnOtNysZ9yrp
2fly___Juan Magán,2DU3z9qjQxuw2YTlsY7xdO
El Farsante - Remix___Ozuna,7uYgVgRSgqluZclLS7wpp4
Shower___Becky G,3DmW6y7wTEYHJZlLo1r6XJ
Fireflies___Owl City,3DamFFqW32WihKkTVlwTYQ
Serenata___Mike Bahía,11ufNpNUBDwTGlU8sdWZaP
Empire State Of Mind___JAY-Z,2igwFfvr1OAGX9SKDCPBwO
Must Be Love___Niall Horan,4rYNrM5Yfi7vAs0PF3WnZW
Riverside___Slo Loris,5n3Jp6iz0NuY6wqndUdhcP
Egoísta___Justin Quiles,5ESAML4PZAbsiTK6OgRV2q
Ay Haiti!___Alejandro Sanz,3FifroUyur8j5mTM78WuXQ
In My Feelings___Drake,2G7V7zsVDxg1yRsu7Ew9RJ
Perfect___One Direction,3NLnwwAQbbFKcEcV8hDItk
Por el Resto de Tu Vida___Christian Nodal,40vzZFWG1h60TdZPuxuX3Y
Midnight Rain___Taylor Swift,3rWDp9tBPQR9z6U5YyRSK4
Aunque Ya No Estés Aquí___FMK,00sAoxFmsbUSU5Cn0RCxlV
Su Juego___Q2,0F4w4vgIe6YrV6tZszSDgi
Prende La Camara - Remix___Axel Caram,5CGDlYe3DXdGJlm471REcg
Aguante___Feid,2dWGQ975YrNma4SdfmJRDg
Ayer Me Acordé de Ti___Enol,0tT9juc2fqXHbfdAG5PGZ0
Cuánto Me Duele___Morat,0zzDmSV57bPIZbhvq3zAT6
Esperándote___Manuel Turizo,6DPp7xKJ4WS71HldGA038M
La Boca___Mau y Ricky,2EEmzqzM70CybVspgM7YRT
Ice Cold___LANE,1rEVH7o40hg9UFjv7aSA1L
Intocable - Remix___Vgomez,3uYloeZOfzOjx3h7IQqD9N
Cloudless___Devi Rubio,0tE8RGc0ctX2YjN5sOIiDS
Polvov___Facundo Majdalani,5TJ1IMC7QF7kHNGjzVZUoI
LOST IN YOU___Elternhouse,3xI7ICXmQAkQX7WmV1u1nT
Se iluminaba___Fred De Palma,3VPOZWtj8mM89IiRNygxgS
Vidas Pasadas___3AM,2G6cOHhIjJGd7fhBKXBjLr
New Man___Ed Sheeran,5HDPtsnyb3maFmPL8LLUTG
Just So You Know___Jesse McCartney,3MEt5KPNRD7RpE8BnvJe6B
Ansiedades___Mora,4GhaiN8g3mwCcbfDLGoYqy
